zone_idx,value
8,477
9,300
10,273
11,516
12,446
13,493
14,403
27,616
28,277
29,620
30,406
31,219
32,544
33,403
34,94
35,232
36,164
37,120
38,143
47,296
48,570
49,384
50,346
51,359
52,561
53,546
54,117
55,132
56,401
57,339
58,569
59,363
66,106
67,652
68,420
69,130
70,198
71,181
72,212
73,335
74,653
75,89
76,554
77,476
78,632
79,91
86,275
87,639
88,345
89,425
90,372
91,407
92,75
93,136
94,601
95,651
96,242
97,382
98,571
104,390
105,551
106,470
107,486
108,167
109,469
110,382
111,408
112,297
113,531
114,462
115,145
116,527
117,469
118,222
119,283
124,145
125,599
126,334
127,328
128,433
129,411
130,499
131,235
132,277
133,463
134,651
135,70
136,212
137,145
138,492
139,427
144,524
145,504
146,82
147,367
148,108
149,144
150,459
151,429
152,402
153,251
154,148
155,253
156,577
157,271
158,65
159,562
164,212
165,597
166,106
167,536
168,71
169,528
170,64
171,548
172,422
173,608
174,576
175,658
176,499
177,240
178,638
179,176
184,589
185,472
186,362
187,152
188,482
189,337
190,86
191,268
192,290
193,193
194,384
195,587
196,616
197,66
198,546
199,223
204,606
205,181
206,535
207,76
208,582
209,356
210,601
211,430
212,506
213,572
214,504
215,581
216,436
217,530
218,418
219,506
223,514
224,592
225,525
226,388
227,100
228,619
229,407
230,200
231,587
232,653
233,92
234,536
235,512
236,648
237,424
238,315
239,159
243,114
244,228
245,241
246,363
247,418
248,158
249,195
250,292
251,197
252,388
253,120
254,147
255,466
256,622
257,509
258,457
259,555
263,618
264,516
265,508
266,98
267,147
268,591
269,385
270,254
271,520
272,360
273,337
274,539
275,328
276,230
277,355
278,373
279,393
284,506
285,330
286,133
287,357
288,521
289,617
290,282
291,531
292,578
293,381
294,630
295,646
296,199
297,94
298,101
299,646
305,101
306,464
307,532
308,381
309,144
310,468
311,91
312,300
313,269
314,233
315,453
316,311
317,635
318,640
319,475
327,586
329,603
330,167
331,75
332,431
333,366
334,269
335,321
336,208
337,431
338,346
340,171
341,172
354,555
355,537
356,354
357,638
360,510
361,473
362,174
363,581
376,536
377,523
