zone_idx,value
8,139
9,273
10,97
11,229
12,110
13,39
14,14
27,32
28,279
29,212
30,55
31,255
32,267
33,172
34,217
35,183
36,39
37,26
38,8
47,58
48,329
49,260
50,42
51,218
52,143
53,114
54,185
55,120
56,68
57,9
58,68
59,3
66,15
67,290
68,407
69,175
70,71
71,260
72,163
73,149
74,225
75,150
76,125
77,71
78,51
79,23
84,27
85,8
86,28
87,188
88,427
89,183
90,191
91,374
92,320
93,270
94,298
95,117
96,296
97,279
98,545
103,18
104,144
105,18
106,7
107,323
108,379
109,196
110,131
111,253
112,148
113,191
114,240
115,248
116,268
117,306
118,571
119,465
124,2
125,53
126,3
127,397
128,501
129,229
130,290
131,531
132,155
133,124
134,226
135,135
136,191
137,239
138,289
139,295
144,91
145,85
146,78
147,459
148,461
149,388
150,368
151,322
152,89
153,481
154,126
155,101
156,107
157,474
158,219
159,291
164,193
165,276
166,245
167,442
168,442
169,508
170,597
171,194
172,134
173,204
174,99
175,135
176,155
177,285
178,230
179,353
184,304
185,634
186,308
187,1146
188,828
189,908
190,393
191,398
192,246
193,237
194,173
195,173
196,213
197,526
198,399
199,186
204,392
205,722
206,804
207,1128
208,1761
209,827
210,1247
211,1101
212,234
213,286
214,181
215,326
216,531
217,457
218,227
219,178
223,33
224,694
225,1054
226,1535
227,1941
228,1600
229,1799
230,1987
231,928
232,520
233,635
234,487
235,378
236,179
237,148
238,112
239,263
243,396
244,947
245,590
246,1895
247,6646
248,5064
249,2315
250,2235
251,1059
252,1202
253,900
254,206
255,323
256,191
257,188
258,111
259,502
263,283
264,766
265,2074
266,1958
267,5481
268,3685
269,1086
270,591
271,551
272,1020
273,395
274,363
275,313
276,347
277,134
278,200
279,345
284,382
285,893
286,2708
287,1797
288,1906
289,543
290,241
291,284
292,348
293,398
294,192
295,287
296,327
297,317
298,290
299,234
305,191
306,1231
307,1149
308,983
309,879
310,464
311,331
312,381
313,180
314,123
315,686
316,510
317,706
318,310
319,96
327,204
329,34
330,135
331,74
332,203
333,100
334,172
335,505
336,568
337,72
338,245
339,7
340,193
341,111
354,57
355,241
356,443
357,25
360,76
361,107
362,177
363,95
376,184
377,2
381,7
383,6
397,2
