zone_idx,value
8,4
9,4
10,3
11,2
12,2
13,2
14,2
27,2
28,3
29,4
30,4
31,2
32,2
33,2
34,2
35,3
36,2
37,2
38,1
47,3
48,3
49,4
50,4
51,2
52,2
53,2
54,3
55,2
56,2
57,2
58,1
59,1
66,2
67,3
68,3
69,5
70,5
71,3
72,3
73,3
74,3
75,3
76,2
77,1
78,2
79,2
84,1
85,1
86,3
87,4
88,3
89,5
90,6
91,5
92,4
93,2
94,4
95,4
96,2
97,2
98,2
103,1
104,1
105,1
106,3
107,6
108,4
109,6
110,5
111,5
112,6
113,4
114,5
115,3
116,4
117,3
118,3
119,3
124,1
125,1
126,4
127,6
128,6
129,6
130,4
131,4
132,4
133,3
134,3
135,3
136,4
137,3
138,3
139,3
144,2
145,2
146,4
147,6
148,6
149,4
150,4
151,4
152,2
153,2
154,3
155,3
156,3
157,2
158,2
159,2
164,1
165,3
166,4
167,6
168,5
169,4
170,3
171,4
172,3
173,4
174,6
175,4
176,4
177,4
178,3
179,3
184,3
185,4
186,5
187,6
188,7
189,5
190,4
191,4
192,5
193,5
194,6
195,6
196,5
197,4
198,3
199,3
204,3
205,5
206,7
207,7
208,8
209,4
210,5
211,6
212,5
213,5
214,6
215,5
216,5
217,4
218,2
219,2
223,3
224,5
225,7
226,7
227,8
228,7
229,6
230,5
231,5
232,6
233,7
234,6
235,7
236,5
237,4
238,3
239,2
243,3
244,5
245,5
246,8
247,9
248,9
249,9
250,8
251,8
252,9
253,8
254,7
255,5
256,5
257,4
258,3
259,3
263,4
264,5
265,5
266,8
267,9
268,8
269,7
270,9
271,6
272,6
273,5
274,5
275,5
276,4
277,4
278,4
279,3
284,6
285,6
286,8
287,9
288,9
289,7
290,6
291,6
292,6
293,6
294,4
295,4
296,4
297,4
298,3
299,2
305,6
306,9
307,9
308,9
309,7
310,6
311,7
312,7
313,4
314,3
315,5
316,5
317,4
318,3
319,2
327,7
329,6
330,6
331,6
332,6
333,3
334,3
335,4
336,4
337,3
338,2
339,1
340,1
341,1
354,2
355,3
356,3
357,1
360,1
361,1
362,5
363,6
376,2
377,1
381,1
